job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,operation_energy_kWh_est
J027,A,106,1,2026-09-22 03:00:00,1,A-CUT,M01,Medium,2026-09-21 06:00:00,2026-09-21 07:30:00,0,90,90,108.0
J027,A,106,1,2026-09-22 03:00:00,2,A-PRS,M04,Maximum,2026-09-21 07:30:00,2026-09-21 09:45:00,0,135,135,281.25
J027,A,106,1,2026-09-22 03:00:00,3,A-INS,M05,Light,2026-09-21 09:45:00,2026-09-21 11:00:00,0,75,75,40.0
J034,C,264,2,2026-09-23 03:00:00,1,C-ASM,M02,Medium,2026-09-21 06:00:00,2026-09-21 10:30:00,0,270,270,247.5
J034,C,264,2,2026-09-23 03:00:00,2,C-HT,M03,Maximum,2026-09-21 10:30:00,2026-09-21 17:15:00,0,405,405,978.75
J034,C,264,2,2026-09-23 03:00:00,3,C-INS,M05,Light,2026-09-22 08:00:00,2026-09-22 10:55:00,10,165,175,89.067
J070,B,152,3,2026-09-23 08:15:00,1,B-CUT,M01,Medium,2026-09-22 07:15:00,2026-09-22 09:35:00,20,120,140,148.8
J070,B,152,3,2026-09-23 08:15:00,2,B-HT,M03,Maximum,2026-09-22 09:45:00,2026-09-22 14:20:00,35,240,275,596.917
J070,B,152,3,2026-09-23 08:15:00,3,B-ASM,M02,Medium,2026-09-22 14:30:00,2026-09-22 17:30:00,15,165,180,154.0
J052,C,298,2,2026-09-23 08:30:00,1,C-ASM,M02,Medium,2026-09-21 10:30:00,2026-09-21 15:45:00,15,300,315,277.75
J052,C,298,2,2026-09-23 08:30:00,2,C-HT,M03,Maximum,2026-09-21 17:15:00,2026-09-22 01:20:00,35,450,485,1104.417
J052,C,298,2,2026-09-23 08:30:00,3,C-INS,M05,Light,2026-09-22 11:00:00,2026-09-22 14:00:00,0,180,180,96.0
J008,A,219,3,2026-09-23 08:30:00,1,A-CUT,M01,Medium,2026-09-22 09:45:00,2026-09-22 12:50:00,20,165,185,202.8
J008,A,219,3,2026-09-23 08:30:00,2,A-PRS,M04,Maximum,2026-09-22 13:00:00,2026-09-22 17:30:00,0,270,270,562.5
J008,A,219,3,2026-09-23 08:30:00,3,A-INS,M05,Light,2026-09-22 17:30:00,2026-09-22 19:55:00,10,135,145,73.067
J018,B,187,2,2026-09-23 14:30:00,1,B-CUT,M01,Medium,2026-09-22 13:00:00,2026-09-22 15:50:00,20,150,170,184.8
J018,B,187,2,2026-09-23 14:30:00,2,B-HT,M03,Maximum,2026-09-22 16:00:00,2026-09-22 21:20:00,35,285,320,705.667
J018,B,187,2,2026-09-23 14:30:00,3,B-ASM,M02,Medium,2026-09-23 06:00:00,2026-09-23 09:30:00,15,195,210,181.5
J022,C,274,3,2026-09-23 18:15:00,1,C-ASM,M02,Medium,2026-09-23 09:30:00,2026-09-23 14:30:00,15,285,300,264.0
J022,C,274,3,2026-09-23 18:15:00,2,C-HT,M03,Maximum,2026-09-23 14:30:00,2026-09-23 22:05:00,35,420,455,1031.917
J022,C,274,3,2026-09-23 18:15:00,3,C-INS,M05,Light,2026-09-24 08:00:00,2026-09-24 10:55:00,10,165,175,89.067
J016,A,62,2,2026-09-23 20:15:00,1,A-CUT,M01,Medium,2026-09-21 14:15:00,2026-09-21 15:35:00,20,60,80,76.8
J016,A,62,2,2026-09-23 20:15:00,2,A-PRS,M04,Maximum,2026-09-21 15:45:00,2026-09-21 17:00:00,0,75,75,156.25
J016,A,62,2,2026-09-23 20:15:00,3,A-INS,M05,Light,2026-09-21 17:00:00,2026-09-21 17:55:00,10,45,55,25.067
J037,B,98,1,2026-09-23 21:15:00,1,B-CUT,M01,Medium,2026-09-22 16:00:00,2026-09-22 17:35:00,20,75,95,94.8
J037,B,98,1,2026-09-23 21:15:00,2,B-HT,M03,Maximum,2026-09-22 21:30:00,2026-09-23 00:35:00,35,150,185,379.417
J037,B,98,1,2026-09-23 21:15:00,3,B-ASM,M02,Medium,2026-09-23 14:30:00,2026-09-23 16:30:00,15,105,120,99.0
J042,B,167,2,2026-09-23 23:00:00,1,B-CUT,M01,Medium,2026-09-22 17:45:00,2026-09-22 20:00:00,0,135,135,162.0
J042,B,167,2,2026-09-23 23:00:00,2,B-HT,M03,Maximum,2026-09-23 00:45:00,2026-09-23 05:00:00,0,255,255,616.25
J042,B,167,2,2026-09-23 23:00:00,3,B-ASM,M02,Medium,2026-09-23 16:30:00,2026-09-23 19:30:00,0,180,180,165.0
J005,A,245,1,2026-09-24 01:00:00,1,A-CUT,M01,Medium,2026-09-23 06:00:00,2026-09-23 09:35:00,20,195,215,238.8
J005,A,245,1,2026-09-24 01:00:00,2,A-PRS,M04,Maximum,2026-09-23 09:45:00,2026-09-23 14:45:00,0,300,300,625.0
J005,A,245,1,2026-09-24 01:00:00,3,A-INS,M05,Light,2026-09-23 14:45:00,2026-09-23 17:15:00,0,150,150,80.0
J059,C,134,2,2026-09-24 05:00:00,1,C-ASM,M02,Medium,2026-09-21 15:45:00,2026-09-21 18:15:00,15,135,150,126.5
J059,C,134,2,2026-09-24 05:00:00,2,C-HT,M03,Maximum,2026-09-22 01:30:00,2026-09-22 05:35:00,35,210,245,524.417
J059,C,134,2,2026-09-24 05:00:00,3,C-INS,M05,Light,2026-09-22 14:00:00,2026-09-22 15:40:00,10,90,100,49.067
J012,A,130,3,2026-09-24 06:30:00,1,A-CUT,M01,Medium,2026-09-23 09:45:00,2026-09-23 11:30:00,0,105,105,126.0
J012,A,130,3,2026-09-24 06:30:00,2,A-PRS,M04,Maximum,2026-09-23 14:45:00,2026-09-23 17:30:00,0,165,165,343.75
J012,A,130,3,2026-09-24 06:30:00,3,A-INS,M05,Light,2026-09-23 17:30:00,2026-09-23 19:10:00,10,90,100,49.067
J032,A,99,1,2026-09-24 06:45:00,1,A-CUT,M01,Medium,2026-09-22 06:00:00,2026-09-22 07:15:00,0,75,75,90.0
J032,A,99,1,2026-09-24 06:45:00,2,A-PRS,M04,Maximum,2026-09-22 07:15:00,2026-09-22 09:15:00,0,120,120,250.0
J032,A,99,1,2026-09-24 06:45:00,3,A-INS,M05,Light,2026-09-22 15:45:00,2026-09-22 16:45:00,0,60,60,32.0
J055,B,221,2,2026-09-24 08:30:00,1,B-CUT,M01,Medium,2026-09-23 11:30:00,2026-09-23 14:50:00,20,180,200,220.8
J055,B,221,2,2026-09-24 08:30:00,2,B-HT,M03,Maximum,2026-09-23 22:15:00,2026-09-24 04:35:00,35,345,380,850.667
J055,B,221,2,2026-09-24 08:30:00,3,B-ASM,M02,Medium,2026-09-24 06:00:00,2026-09-24 10:00:00,15,225,240,209.0
J068,B,73,1,2026-09-24 09:30:00,1,B-CUT,M01,Medium,2026-09-22 20:00:00,2026-09-22 21:00:00,0,60,60,72.0
J068,B,73,1,2026-09-24 09:30:00,2,B-HT,M03,Maximum,2026-09-23 05:00:00,2026-09-23 07:00:00,0,120,120,290.0
J068,B,73,1,2026-09-24 09:30:00,3,B-ASM,M02,Medium,2026-09-23 19:30:00,2026-09-23 20:45:00,0,75,75,68.75
J057,C,108,2,2026-09-24 10:00:00,1,C-ASM,M02,Medium,2026-09-22 06:00:00,2026-09-22 08:15:00,15,120,135,112.75
J057,C,108,2,2026-09-24 10:00:00,2,C-HT,M03,Maximum,2026-09-23 07:00:00,2026-09-23 10:20:00,35,165,200,415.667
J057,C,108,2,2026-09-24 10:00:00,3,C-INS,M05,Light,2026-09-23 10:30:00,2026-09-23 11:55:00,10,75,85,41.067
J051,B,87,2,2026-09-24 11:15:00,1,B-CUT,M01,Medium,2026-09-23 15:00:00,2026-09-23 16:15:00,0,75,75,90.0
J051,B,87,2,2026-09-24 11:15:00,2,B-HT,M03,Maximum,2026-09-24 04:45:00,2026-09-24 07:35:00,35,135,170,343.167
J051,B,87,2,2026-09-24 11:15:00,3,B-ASM,M02,Medium,2026-09-24 10:00:00,2026-09-24 11:45:00,15,90,105,85.25
J001,B,56,3,2026-09-24 13:15:00,1,B-CUT,M01,Medium,2026-09-22 21:00:00,2026-09-22 22:00:00,0,60,60,72.0
J001,B,56,3,2026-09-24 13:15:00,2,B-HT,M03,Maximum,2026-09-23 10:30:00,2026-09-23 12:00:00,0,90,90,217.5
J001,B,56,3,2026-09-24 13:15:00,3,B-ASM,M02,Medium,2026-09-23 20:45:00,2026-09-23 21:45:00,0,60,60,55.0
J028,A,134,1,2026-09-24 16:15:00,1,A-CUT,M01,Medium,2026-09-21 09:15:00,2026-09-21 11:20:00,20,105,125,130.8
J028,A,134,1,2026-09-24 16:15:00,2,A-PRS,M04,Maximum,2026-09-21 11:30:00,2026-09-21 14:15:00,0,165,165,343.75
J028,A,134,1,2026-09-24 16:15:00,3,A-INS,M05,Light,2026-09-21 14:15:00,2026-09-21 15:55:00,10,90,100,49.067
J014,B,86,2,2026-09-24 17:15:00,1,B-CUT,M01,Medium,2026-09-23 16:15:00,2026-09-23 17:50:00,20,75,95,94.8
J014,B,86,2,2026-09-24 17:15:00,2,B-HT,M03,Maximum,2026-09-24 07:45:00,2026-09-24 10:00:00,0,135,135,326.25
J014,B,86,2,2026-09-24 17:15:00,3,B-ASM,M02,Medium,2026-09-24 11:45:00,2026-09-24 13:15:00,0,90,90,82.5
