job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,energy_kWh_est,energy_cost_est,peak_overlap_slots,co2_kg_est,candidate_score
J027,A,106,1,2026-09-22 03:00:00,1,A-CUT,M01,Medium,2026-09-21 06:00:00,2026-09-21 07:30:00,0,90,90,108.0,9720.0,0,48.6,9762.3
J027,A,106,1,2026-09-22 03:00:00,2,A-PRS,M04,Maximum,2026-09-21 07:30:00,2026-09-21 09:45:00,0,135,135,281.25,36250.0,0,168.75,36334.375
J027,A,106,1,2026-09-22 03:00:00,3,A-INS,M05,Light,2026-09-21 12:00:00,2026-09-21 13:15:00,0,75,75,40.0,5600.0,0,14.0,5613.75
J034,C,264,2,2026-09-23 03:00:00,1,C-ASM,M02,Medium,2026-09-21 06:00:00,2026-09-21 10:30:00,0,270,270,247.5,31350.0,2,111.375,32420.688
J034,C,264,2,2026-09-23 03:00:00,2,C-HT,M03,Maximum,2026-09-21 10:30:00,2026-09-21 17:15:00,0,405,405,978.75,157325.0,7,587.25,161118.625
J034,C,264,2,2026-09-23 03:00:00,3,C-INS,M05,Light,2026-09-22 12:00:00,2026-09-22 14:55:00,10,165,175,97.6,13664.0,0,34.16,13787.33
J070,B,152,3,2026-09-23 08:15:00,1,B-CUT,M01,Medium,2026-09-22 07:15:00,2026-09-22 09:35:00,20,120,140,169.2,21528.0,0,76.14,21666.07
J070,B,152,3,2026-09-23 08:15:00,2,B-HT,M03,Maximum,2026-09-22 12:00:00,2026-09-22 16:35:00,35,240,275,638.0,89320.0,0,382.8,89693.65
J070,B,152,3,2026-09-23 08:15:00,3,B-ASM,M02,Medium,2026-09-22 19:00:00,2026-09-22 22:00:00,15,165,180,154.0,25080.0,4,69.3,27196.9
J052,C,298,2,2026-09-23 08:30:00,1,C-ASM,M02,Medium,2026-09-21 11:45:00,2026-09-21 17:00:00,15,300,315,277.75,39105.0,1,124.987,39761.244
J052,C,298,2,2026-09-23 08:30:00,2,C-HT,M03,Maximum,2026-09-21 22:00:00,2026-09-22 06:05:00,35,450,485,1145.5,103095.0,0,687.3,103628.65
J052,C,298,2,2026-09-23 08:30:00,3,C-INS,M05,Light,2026-09-22 08:00:00,2026-09-22 11:00:00,0,180,180,96.0,16000.0,4,33.6,18022.55
J008,A,219,3,2026-09-23 08:30:00,1,A-CUT,M01,Medium,2026-09-22 12:00:00,2026-09-22 15:05:00,20,165,185,223.2,31248.0,0,100.44,31417.72
J008,A,219,3,2026-09-23 08:30:00,2,A-PRS,M04,Maximum,2026-09-22 17:30:00,2026-09-22 22:00:00,0,270,270,562.5,103750.0,10,337.5,108926.0
J008,A,219,3,2026-09-23 08:30:00,3,A-INS,M05,Light,2026-09-23 08:00:00,2026-09-23 10:25:00,10,135,145,81.6,12704.0,2,28.56,128798.28
J018,B,187,2,2026-09-23 14:30:00,1,B-CUT,M01,Medium,2026-09-23 06:00:00,2026-09-23 08:50:00,20,150,170,205.2,22068.0,0,92.34,22272.67
