job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,energy_kWh_est,energy_cost_est,peak_overlap_slots,co2_kg_est,slack_before_operation_min,slack_policy_mode,candidate_score
J027,A,106,1,2026-09-22 03:00:00,1,A-CUT,M01,Medium,2026-09-21 06:00:00,2026-09-21 07:30:00,0,90,90,108.0,9720.0,0,48.6,1530.0,normal_energy,13434.3
J027,A,106,1,2026-09-22 03:00:00,2,A-PRS,M04,Maximum,2026-09-21 07:30:00,2026-09-21 09:45:00,0,135,135,281.25,36250.0,0,168.75,1035.0,limited_energy,36361.375
J027,A,106,1,2026-09-22 03:00:00,3,A-INS,M05,Light,2026-09-21 12:00:00,2026-09-21 13:15:00,0,75,75,40.0,5600.0,0,14.0,960.0,limited_energy,6999.0
J034,C,264,2,2026-09-23 03:00:00,1,C-ASM,M02,Medium,2026-09-21 06:00:00,2026-09-21 10:30:00,0,270,270,247.5,31350.0,2,111.375,2730.0,normal_energy,35919.688
J034,C,264,2,2026-09-23 03:00:00,2,C-HT,M03,Maximum,2026-09-21 22:00:00,2026-09-22 04:45:00,0,405,405,978.75,88087.5,0,587.25,2025.0,active_peak_avoid,95500.125
J034,C,264,2,2026-09-23 03:00:00,3,C-INS,M05,Light,2026-09-22 08:00:00,2026-09-22 10:55:00,10,165,175,97.6,16224.0,4,34.16,1160.0,limited_energy,19745.08
J070,B,152,3,2026-09-23 08:15:00,1,B-CUT,M01,Medium,2026-09-22 07:15:00,2026-09-22 09:35:00,20,120,140,169.2,21528.0,0,76.14,1360.0,limited_energy,21754.07
J070,B,152,3,2026-09-23 08:15:00,2,B-HT,M03,Maximum,2026-09-22 12:00:00,2026-09-22 16:35:00,35,240,275,638.0,89320.0,0,382.8,1085.0,limited_energy,91325.4
J070,B,152,3,2026-09-23 08:15:00,3,B-ASM,M02,Medium,2026-09-22 19:00:00,2026-09-22 22:00:00,15,165,180,154.0,25080.0,4,69.3,760.0,limited_energy,29549.65
J052,C,298,2,2026-09-23 08:30:00,1,C-ASM,M02,Medium,2026-09-21 11:45:00,2026-09-21 17:00:00,15,300,315,277.75,39105.0,1,124.987,2745.0,normal_energy,43875.494
