job_id,product_type,quantity,release_time,due_time,priority,required_process_count
J001,B,56,2026-09-22 11:15:00,2026-09-24 13:15:00,3,3
J002,B,278,2026-09-23 21:00:00,2026-09-27 22:00:00,1,3
J003,A,179,2026-09-21 03:15:00,2026-09-26 09:15:00,1,3
J004,B,257,2026-09-21 00:15:00,2026-09-25 05:15:00,2,3
J005,A,245,2026-09-22 19:00:00,2026-09-24 01:00:00,1,3
J006,C,204,2026-09-22 09:00:00,2026-09-26 17:00:00,1,3
J007,C,70,2026-09-23 22:30:00,2026-09-27 13:00:00,1,3
J008,A,219,2026-09-22 05:30:00,2026-09-23 08:30:00,3,3
J009,B,166,2026-09-22 22:15:00,2026-09-26 03:15:00,1,3
J010,A,289,2026-09-21 09:15:00,2026-09-26 12:15:00,1,3
J011,B,286,2026-09-23 23:15:00,2026-09-26 23:15:00,1,3
J012,A,130,2026-09-23 03:30:00,2026-09-24 06:30:00,3,3
J013,B,233,2026-09-22 16:15:00,2026-09-26 22:15:00,3,3
J014,B,86,2026-09-22 09:15:00,2026-09-24 17:15:00,2,3
J015,C,159,2026-09-23 03:30:00,2026-09-25 05:30:00,2,3
J016,A,62,2026-09-21 14:15:00,2026-09-23 20:15:00,2,3
J017,B,202,2026-09-23 11:30:00,2026-09-27 12:00:00,3,3
J018,B,187,2026-09-22 10:30:00,2026-09-23 14:30:00,2,3
J019,B,294,2026-09-22 09:15:00,2026-09-27 10:15:00,3,3
J020,A,213,2026-09-23 16:15:00,2026-09-25 21:15:00,3,3
J021,B,249,2026-09-23 19:00:00,2026-09-27 15:00:00,1,3
J022,C,274,2026-09-22 15:15:00,2026-09-23 18:15:00,3,3
J023,C,71,2026-09-23 14:00:00,2026-09-27 20:00:00,2,3
J024,C,92,2026-09-22 09:45:00,2026-09-24 17:45:00,3,3
J025,B,232,2026-09-22 15:45:00,2026-09-25 22:45:00,3,3
J026,B,113,2026-09-22 04:00:00,2026-09-25 04:00:00,2,3
J027,A,106,2026-09-21 00:00:00,2026-09-22 03:00:00,1,3
J028,A,134,2026-09-21 09:15:00,2026-09-24 16:15:00,1,3
J029,A,289,2026-09-23 12:15:00,2026-09-27 18:15:00,1,3
J030,A,160,2026-09-22 21:45:00,2026-09-27 04:45:00,3,3
J031,A,217,2026-09-21 12:00:00,2026-09-25 17:00:00,3,3
J032,A,99,2026-09-22 00:45:00,2026-09-24 06:45:00,1,3
J033,B,273,2026-09-21 09:45:00,2026-09-26 10:45:00,1,3
J034,C,264,2026-09-21 01:00:00,2026-09-23 03:00:00,2,3
J035,B,271,2026-09-23 03:00:00,2026-09-25 09:00:00,1,3
J036,B,287,2026-09-23 10:30:00,2026-09-27 18:30:00,2,3
J037,B,98,2026-09-22 13:15:00,2026-09-23 21:15:00,1,3
J038,A,62,2026-09-23 13:15:00,2026-09-24 21:15:00,1,3
J039,A,202,2026-09-21 08:15:00,2026-09-25 09:15:00,3,3
J040,B,198,2026-09-21 05:00:00,2026-09-25 13:00:00,2,3
J041,A,221,2026-09-22 16:15:00,2026-09-25 22:15:00,1,3
J042,B,167,2026-09-22 16:00:00,2026-09-23 23:00:00,2,3
J043,B,75,2026-09-21 09:15:00,2026-09-26 13:15:00,1,3
J044,A,67,2026-09-22 07:30:00,2026-09-25 09:30:00,2,3
J045,B,127,2026-09-23 19:00:00,2026-09-27 12:00:00,1,3
J046,C,117,2026-09-21 14:00:00,2026-09-26 16:00:00,2,3
J047,B,233,2026-09-22 19:15:00,2026-09-26 03:15:00,2,3
J048,C,266,2026-09-21 06:00:00,2026-09-25 10:00:00,1,3
J049,A,83,2026-09-22 09:15:00,2026-09-26 17:15:00,3,3
J050,B,78,2026-09-21 09:15:00,2026-09-26 09:15:00,3,3
J051,B,87,2026-09-23 07:15:00,2026-09-24 11:15:00,2,3
J052,C,298,2026-09-21 05:30:00,2026-09-23 08:30:00,2,3
J053,B,193,2026-09-23 04:15:00,2026-09-25 06:15:00,3,3
J054,C,275,2026-09-23 04:00:00,2026-09-25 09:00:00,3,3
J055,B,221,2026-09-22 07:30:00,2026-09-24 08:30:00,2,3
J056,A,170,2026-09-22 04:15:00,2026-09-26 09:15:00,2,3
J057,C,108,2026-09-22 04:00:00,2026-09-24 10:00:00,2,3
J058,C,297,2026-09-22 11:30:00,2026-09-27 17:30:00,2,3
J059,C,134,2026-09-21 03:00:00,2026-09-24 05:00:00,2,3
J060,C,59,2026-09-21 13:45:00,2026-09-24 18:45:00,2,3
J061,C,79,2026-09-23 01:15:00,2026-09-26 01:15:00,3,3
J062,A,286,2026-09-23 20:15:00,2026-09-27 02:15:00,1,3
J063,B,134,2026-09-22 16:00:00,2026-09-26 00:00:00,2,3
J064,B,153,2026-09-22 13:15:00,2026-09-24 19:15:00,2,3
J065,B,241,2026-09-21 22:30:00,2026-09-26 06:30:00,3,3
J066,A,103,2026-09-23 07:30:00,2026-09-27 14:30:00,2,3
J067,A,171,2026-09-21 21:00:00,2026-09-25 05:00:00,2,3
J068,B,73,2026-09-22 06:30:00,2026-09-24 09:30:00,1,3
J069,A,171,2026-09-21 09:45:00,2026-09-25 12:45:00,3,3
J070,B,152,2026-09-22 07:15:00,2026-09-23 08:15:00,3,3
J071,A,255,2026-09-23 18:45:00,2026-09-25 02:45:00,1,3
J072,C,166,2026-09-21 17:45:00,2026-09-27 01:45:00,2,3
J073,C,278,2026-09-23 08:45:00,2026-09-27 20:00:00,3,3
J074,B,116,2026-09-22 07:30:00,2026-09-27 14:30:00,2,3
J075,A,69,2026-09-22 12:15:00,2026-09-25 17:15:00,2,3
J076,B,85,2026-09-21 19:15:00,2026-09-25 21:15:00,3,3
J077,A,154,2026-09-22 18:45:00,2026-09-26 18:45:00,1,3
J078,B,281,2026-09-21 02:45:00,2026-09-25 02:45:00,3,3
J079,A,149,2026-09-23 05:15:00,2026-09-27 08:15:00,2,3
J080,B,149,2026-09-22 19:45:00,2026-09-25 02:45:00,3,3
